Taxon,Total length,No of charsets,atpB_final_alignment.fasta,matK_final_alignment.fasta,ndhF_final_alignment.fasta,rbcL_final_alignment.fasta,
Amaryllidaceae Hippeastrum puniceum,4223 bp,2,(No data),(No data),3641 (1700 indels),582 (29 indels),
Amaryllidaceae Hippeastrum reticulatum,3776 bp,1,(No data),(No data),3776 (1702 indels),(No data),
Amaryllidaceae Hippeastrum striatum,3648 bp,1,(No data),(No data),3648 (1700 indels),(No data),
Amaryllidaceae Hippeastrum stylosum,2829 bp,1,(No data),2829 (1693 indels),(No data),(No data),
Amaryllidaceae Hymenocallis littoralis,10752 bp,4,1546 (112 indels),3949 (2386 indels),3717 (1700 indels),1540 (206 indels),
Amaryllidaceae Hymenocallis tubiflora,3696 bp,1,(No data),(No data),3696 (1701 indels),(No data),
Amaryllidaceae Tocantinia comp. OUTSIDE,3659 bp,1,(No data),(No data),3659 (1700 indels),(No data),
Amaryllidaceae Zephyranthes cearensis,3646 bp,1,(No data),(No data),3646 (1700 indels),(No data),
Anacardiaceae Anacardium occidentale,9581 bp,3,(No data),"5260 (3 'N', 3315 indels)",3637 (1667 indels),684 (135 indels),
Anacardiaceae Anacardium spruceanum,726 bp,1,(No data),(No data),(No data),726 (29 indels),
Anacardiaceae Apterokarpos gardneri,3332 bp,2,"1554 (2 'N', 121 indels)",(No data),(No data),1778 (358 indels),
Anacardiaceae Astronium graveolens,3482 bp,2,(No data),2207 (1423 indels),(No data),"1275 (4 'N', 286 indels)",
Anacardiaceae Cyrtocarpa comp. OUTSIDE,7009 bp,2,(No data),"5260 (13 'N', 3373 indels)",(No data),1749 (358 indels),
Anacardiaceae Lithrea molleoides,6172 bp,2,(No data),"5260 (14 'N', 3333 indels)",(No data),912 (344 indels),
Anacardiaceae Schinopsis brasiliensis,5899 bp,2,(No data),"5260 (12 'N', 3359 indels)",(No data),639 (25 indels),
Anacardiaceae Schinus terebinthifolia,6805 bp,3,(No data),2138 (1305 indels),"3756 (3 'N', 1677 indels)",911 (344 indels),
Anacardiaceae Spondias mombin,5260 bp,1,(No data),"5260 (7 'N', 3373 indels)",(No data),(No data),
Anacardiaceae Spondias tuberosa,2958 bp,2,1607 (139 indels),1351 (690 indels),(No data),(No data),
Anacardiaceae Spondias venulosa,1351 bp,1,(No data),1351 (690 indels),(No data),(No data),
Anacardiaceae Tapirira guianensis,2923 bp,2,(No data),2195 (1431 indels),(No data),728 (29 indels),
Anacardiaceae Tapirira obtusa,5389 bp,3,1607 (139 indels),"2004 (1 'N', 1286 indels)",(No data),1778 (358 indels),
Anacardiaceae Thyrsodium comp. OUTSIDE,2668 bp,2,(No data),1942 (1261 indels),(No data),726 (29 indels),
Annonaceae Anaxagorea silvatica,8077 bp,3,(No data),2319 (1488 indels),"3727 (1 'N', 1700 indels)",2031 (613 indels),
