Taxon,Total length,No of charsets,atpB_final_alignment.fasta,matK_final_alignment.fasta,ndhF_final_alignment.fasta,rbcL_final_alignment.fasta,
Gesneriaceae Paliavana sericiflora,5326 bp,1,(No data),5326 (3568 indels),(No data),(No data),
Gesneriaceae Paliavana tenuiflora,3999 bp,1,(No data),3999 (2466 indels),(No data),(No data),
Gesneriaceae Seemannia purpurascens,8300 bp,2,(No data),4517 (2984 indels),"3783 (532 'N', 1711 indels)",(No data),
Gesneriaceae Seemannia sylvatica,8267 bp,2,(No data),4517 (2984 indels),"3750 (12 'N', 1686 indels)",(No data),
Gesneriaceae Sinningia aggregata,5334 bp,1,(No data),5334 (3570 indels),(No data),(No data),
Gesneriaceae Sinningia aghensis,5330 bp,1,(No data),"5330 (1 'N', 3570 indels)",(No data),(No data),
Gesneriaceae Sinningia allagophylla,5336 bp,1,(No data),5336 (3570 indels),(No data),(No data),
Gesneriaceae Sinningia barbata,5331 bp,1,(No data),5331 (3574 indels),(No data),(No data),
Gesneriaceae Sinningia brasiliensis,7765 bp,2,(No data),3999 (2466 indels),"3766 (6 'N', 1686 indels)",(No data),
Gesneriaceae Sinningia canastrensis,5259 bp,1,(No data),5259 (3512 indels),(No data),(No data),
Gesneriaceae Sinningia carangolensis,5574 bp,1,(No data),5574 (3792 indels),(No data),(No data),
Gesneriaceae Sinningia conspicua,5348 bp,1,(No data),5348 (3574 indels),(No data),(No data),
Gesneriaceae Sinningia defoliata,5336 bp,1,(No data),5336 (3560 indels),(No data),(No data),
Gesneriaceae Sinningia douglasii,5336 bp,1,(No data),5336 (3565 indels),(No data),(No data),
Gesneriaceae Sinningia elatior,4563 bp,1,(No data),4563 (2955 indels),(No data),(No data),
Gesneriaceae Sinningia gigantifolia,5246 bp,1,(No data),5246 (3506 indels),(No data),(No data),
Gesneriaceae Sinningia harleyi,5335 bp,1,(No data),5335 (3574 indels),(No data),(No data),
Gesneriaceae Sinningia incarnata,5336 bp,1,(No data),5336 (3566 indels),(No data),(No data),
Gesneriaceae Sinningia macrophylla,4728 bp,1,(No data),4728 (3115 indels),(No data),(No data),
Gesneriaceae Sinningia macropoda,5330 bp,1,(No data),"5330 (56 'N', 3565 indels)",(No data),(No data),
Gesneriaceae Sinningia magnifica,5577 bp,1,(No data),5577 (3788 indels),(No data),(No data),
Gesneriaceae Sinningia nordestina,5335 bp,1,(No data),5335 (3570 indels),(No data),(No data),
Gesneriaceae Sinningia richii,9310 bp,2,(No data),5563 (3786 indels),"3747 (16 'N', 1686 indels)",(No data),
Gesneriaceae Sinningia rupicola,3561 bp,1,(No data),3561 (2155 indels),(No data),(No data),
Gesneriaceae Sinningia sceptrum,5337 bp,1,(No data),5337 (3560 indels),(No data),(No data),
Gesneriaceae Sinningia speciosa,8832 bp,2,(No data),5336 (3570 indels),"3496 (6 'N', 1661 indels)",(No data),
Gesneriaceae Sinningia striata,5348 bp,1,(No data),5348 (3575 indels),(No data),(No data),
Gesneriaceae Sinningia tuberosa,5335 bp,1,(No data),5335 (3570 indels),(No data),(No data),
Gesneriaceae Sinningia villosa,5334 bp,1,(No data),5334 (3570 indels),(No data),(No data),
Gesneriaceae Sinningia warmingii,5333 bp,1,(No data),5333 (3570 indels),(No data),(No data),
Gesneriaceae Sphaerorrhiza sarmentiana,7685 bp,2,(No data),4000 (2467 indels),"3685 (11 'N', 1685 indels)",(No data),
Gesneriaceae Vanhouttea brueggeri,5287 bp,1,(No data),5287 (3561 indels),(No data),(No data),
Gesneriaceae Vanhouttea calcarata,3999 bp,1,(No data),3999 (2466 indels),(No data),(No data),
Gesneriaceae Vanhouttea hilariana,5337 bp,1,(No data),5337 (3570 indels),(No data),(No data),
Gesneriaceae Vanhouttea leonii,5337 bp,1,(No data),5337 (3600 indels),(No data),(No data),
Gesneriaceae Vanhouttea pendula,5334 bp,1,(No data),5334 (3600 indels),(No data),(No data),
Goodeniaceae Scaevola plumieri,6291 bp,2,(No data),4625 (3039 indels),(No data),1666 (294 indels),
Goupiaceae Goupia glabra,8247 bp,4,1606 (139 indels),4272 (2926 indels),1643 (955 indels),726 (29 indels),
Griseliniaceae Griselinia comp. OUTSIDE,10852 bp,4,1657 (145 indels),"3027 (31 'N', 1950 indels)",4138 (1908 indels),2030 (613 indels),
Haemodoraceae Schiekia orinocensis,2343 bp,1,(No data),2343 (1502 indels),(No data),(No data),
Haemodoraceae Xiphidium caeruleum,8940 bp,4,1608 (139 indels),2343 (1502 indels),3783 (1691 indels),1206 (30 indels),
Haloragaceae Laurembergia comp. OUTSIDE,3934 bp,1,(No data),3934 (2431 indels),(No data),(No data),
Haloragaceae Myriophyllum aquaticum,8838 bp,2,(No data),7454 (5153 indels),(No data),1384 (226 indels),
Heliconiaceae Heliconia psittacorum,2788 bp,2,(No data),2206 (1437 indels),(No data),582 (29 indels),
Heliotropiaceae Heliotropium amplexicaule,2623 bp,2,(No data),1719 (1062 indels),(No data),904 (343 indels),
Heliotropiaceae Heliotropium curassavicum,6494 bp,3,(No data),2207 (1441 indels),3706 (1676 indels),581 (29 indels),
Heliotropiaceae Heliotropium elongatum,3659 bp,1,(No data),(No data),3659 (1673 indels),(No data),
Heliotropiaceae Heliotropium indicum,2773 bp,2,(No data),2192 (1434 indels),(No data),581 (29 indels),
Heliotropiaceae Euploca procumbens,1058 bp,1,(No data),(No data),(No data),1058 (344 indels),
Heliotropiaceae Myriopus salzmannii,5581 bp,2,(No data),(No data),3700 (1682 indels),1881 (522 indels),
Heliotropiaceae Tournefortia bicolor,2785 bp,2,(No data),2204 (1434 indels),(No data),581 (29 indels),
Hernandiaceae Gyrocarpus americanus,4281 bp,3,1642 (145 indels),2111 (1309 indels),(No data),528 (24 indels),
Hernandiaceae Sparattanthelium amazonum,7801 bp,1,(No data),7801 (5291 indels),(No data),(No data),
Hernandiaceae Sparattanthelium wonotoboense,1739 bp,1,(No data),(No data),(No data),1739 (336 indels),
Humiriaceae Humiriastrum comp. OUTSIDE,2881 bp,2,(No data),2153 (1400 indels),(No data),728 (29 indels),
Hydrocharitaceae Egeria densa,2456 bp,2,(No data),1875 (1232 indels),(No data),581 (29 indels),
Hydrocharitaceae Egeria najas,3905 bp,2,(No data),2367 (1516 indels),(No data),1538 (345 indels),
Hydrocharitaceae Apalanthe granatensis,4550 bp,2,(No data),3338 (2039 indels),(No data),1212 (30 indels),
Hydrocharitaceae Halophila decipiens,3563 bp,2,(No data),2351 (1492 indels),(No data),1212 (30 indels),
Hydrocharitaceae Limnobium laevigatum,3579 bp,2,(No data),2367 (1519 indels),(No data),1212 (30 indels),
Hydrocharitaceae Najas arguta,4254 bp,2,(No data),3117 (2138 indels),(No data),1137 (26 indels),
Hydrocharitaceae Najas guadalupensis,3160 bp,2,(No data),2579 (1564 indels),(No data),581 (29 indels),
Hydrocharitaceae Najas marina,1954 bp,2,(No data),1373 (696 indels),(No data),581 (29 indels),
Hydrocharitaceae Ottelia comp. OUTSIDE,4658 bp,2,(No data),3446 (2177 indels),(No data),1212 (30 indels),
Hypericaceae Hypericum mutilum,6716 bp,3,(No data),3454 (2437 indels),2358 (1383 indels),904 (343 indels),
Hypericaceae Vismia cayennensis,1575 bp,1,(No data),(No data),(No data),1575 (252 indels),
Hypericaceae Vismia guianensis,8806 bp,3,(No data),4857 (3822 indels),2358 (1353 indels),1591 (255 indels),
Hypericaceae Vismia macrophylla,7589 bp,3,(No data),4679 (3634 indels),2358 (1353 indels),552 (26 indels),
Hypoxidaceae Curculigo scorzonerifolia,2768 bp,2,(No data),2187 (1429 indels),(No data),581 (29 indels),
Hypoxidaceae Hypoxis comp. OUTSIDE,7616 bp,4,1574 (121 indels),1719 (1068 indels),3741 (1700 indels),582 (29 indels),
Icacinaceae Casimirella comp. OUTSIDE,5821 bp,3,"1492 (669 'N', 112 indels)","2727 (411 'N', 1791 indels)",(No data),"1602 (192 'N', 294 indels)",
Icacinaceae Leretia cordata,11063 bp,4,1567 (121 indels),"3730 (133 'N', 2470 indels)","3728 (177 'N', 1823 indels)","2038 (6 'N', 613 indels)",
Iridaceae Calydorea campestris,7146 bp,2,(No data),5292 (3481 indels),(No data),1854 (495 indels),
Iridaceae Cipura paludosa,2766 bp,2,(No data),2185 (1407 indels),(No data),581 (29 indels),
Iridaceae Cypella comp. OUTSIDE,7146 bp,2,(No data),5292 (3482 indels),(No data),1854 (495 indels),
Iridaceae Gelasine coerulea,1854 bp,1,(No data),(No data),(No data),1854 (495 indels),
Iridaceae Pseudotrimezia elegans,7146 bp,2,(No data),5292 (3468 indels),(No data),1854 (495 indels),
Iridaceae Pseudotrimezia pauli,1854 bp,1,(No data),(No data),(No data),1854 (495 indels),
Iridaceae Pseudotrimezia recurvata,1854 bp,1,(No data),(No data),(No data),1854 (495 indels),
Iridaceae Sisyrinchium caeteanum,2519 bp,1,(No data),2519 (1504 indels),(No data),(No data),
Iridaceae Sisyrinchium commutatum,2519 bp,1,(No data),2519 (1504 indels),(No data),(No data),
Iridaceae Sisyrinchium luzula,2519 bp,1,(No data),2519 (1504 indels),(No data),(No data),
Iridaceae Sisyrinchium micranthum,4373 bp,2,(No data),2519 (1504 indels),(No data),1854 (495 indels),
Iridaceae Sisyrinchium nidulare,2519 bp,1,(No data),2519 (1504 indels),(No data),(No data),
Iridaceae Sisyrinchium plicatulum,2519 bp,1,(No data),2519 (1504 indels),(No data),(No data),
Iridaceae Sisyrinchium restioides,2519 bp,1,(No data),2519 (1504 indels),(No data),(No data),
Iridaceae Sisyrinchium weirii,2519 bp,1,(No data),2519 (1504 indels),(No data),(No data),
Iridaceae Trimezia fistulosa,7146 bp,2,(No data),5292 (3468 indels),(No data),1854 (495 indels),
Iridaceae Trimezia juncifolia,1854 bp,1,(No data),(No data),(No data),1854 (495 indels),
Iridaceae Trimezia martinicensis,9861 bp,4,1574 (121 indels),3949 (2380 indels),2798 (1283 indels),1540 (206 indels),
Iridaceae Trimezia spathata,7146 bp,2,(No data),5292 (3472 indels),(No data),1854 (495 indels),
Iridaceae Trimezia truncata,1854 bp,1,(No data),(No data),(No data),1854 (495 indels),
Juncaceae Juncus effusus,11273 bp,4,1636 (145 indels),5098 (3538 indels),3635 (1700 indels),904 (343 indels),
Juncaceae Juncus tenuis,2658 bp,2,(No data),2077 (1370 indels),(No data),581 (29 indels),
Lacistemataceae Lacistema aggregatum,6010 bp,4,"1563 (1 'N', 122 indels)",2222 (1423 indels),1643 (955 indels),582 (29 indels),
Lacistemataceae Lacistema grandifolium,3299 bp,2,(No data),1724 (1105 indels),(No data),"1575 (1 'N', 252 indels)",
Lacistemataceae Lacistema robustum,11787 bp,4,"1639 (9 'N', 136 indels)","4103 (219 'N', 2357 indels)","4007 (240 'N', 1544 indels)",2038 (613 indels),
Lamiaceae Amasonia campestris,582 bp,1,(No data),(No data),(No data),582 (29 indels),
Lamiaceae Cantinoa althaeifolia,2089 bp,1,(No data),2089 (1306 indels),(No data),(No data),
Lamiaceae Cantinoa mutabilis,2623 bp,2,(No data),1719 (1068 indels),(No data),904 (343 indels),
Lamiaceae Cantinoa plectranthoides,2308 bp,1,(No data),2308 (1495 indels),(No data),(No data),
Lamiaceae Condea fastigiata,2318 bp,1,(No data),2318 (1496 indels),(No data),(No data),
Lamiaceae Cornutia comp. OUTSIDE,3630 bp,2,(No data),2297 (1428 indels),(No data),1333 (30 indels),
Lamiaceae Cunila comp. OUTSIDE,7728 bp,1,(No data),"7728 (61 'N', 5287 indels)",(No data),(No data),
Lamiaceae Cyanocephalus rugosus,2320 bp,1,(No data),2320 (1497 indels),(No data),(No data),
Lamiaceae Eplingiella cuniloides,2323 bp,1,(No data),2323 (1497 indels),(No data),(No data),
Lamiaceae Eplingiella fruticosa,2318 bp,1,(No data),2318 (1496 indels),(No data),(No data),
Lamiaceae Eriope blanchetii,2318 bp,1,(No data),2318 (1496 indels),(No data),(No data),
Lamiaceae Eriope confusa,2319 bp,1,(No data),2319 (1496 indels),(No data),(No data),
Lamiaceae Eriope velutina,2341 bp,1,(No data),2341 (1509 indels),(No data),(No data),
Lamiaceae Eriopidion strictum,2115 bp,1,(No data),2115 (1313 indels),(No data),(No data),
Lamiaceae Gymneia platanifolia,2322 bp,1,(No data),2322 (1497 indels),(No data),(No data),
Lamiaceae Gymneia virgata,2322 bp,1,(No data),2322 (1497 indels),(No data),(No data),
Lamiaceae Hedeoma comp. OUTSIDE,2292 bp,2,(No data),1710 (1057 indels),(No data),582 (29 indels),
Lamiaceae Hesperozygis nitida,7728 bp,1,(No data),"7728 (46 'N', 5287 indels)",(No data),(No data),
Lamiaceae Hoehnea comp. OUTSIDE,7728 bp,1,(No data),"7728 (111 'N', 5287 indels)",(No data),(No data),
Lamiaceae Hypenia salzmannii,2316 bp,1,(No data),2316 (1496 indels),(No data),(No data),
Lamiaceae Hyptidendron canum,1994 bp,1,(No data),1994 (1290 indels),(No data),(No data),
Lamiaceae Hyptidendron vauthieri,2332 bp,1,(No data),2332 (1508 indels),(No data),(No data),
Lamiaceae Hyptidendron vepretorum,2322 bp,1,(No data),2322 (1497 indels),(No data),(No data),
Lamiaceae Hyptis atrorubens,2277 bp,1,(No data),2277 (1495 indels),(No data),(No data),
Lamiaceae Hyptis bahiensis,2319 bp,1,(No data),"2319 (1 'N', 1496 indels)",(No data),(No data),
Lamiaceae Hyptis brevipes,2898 bp,2,(No data),2317 (1496 indels),(No data),581 (29 indels),
Lamiaceae Hyptis capitata,2322 bp,1,(No data),2322 (1497 indels),(No data),(No data),
Lamiaceae Hyptis fallax,2189 bp,1,(No data),2189 (1441 indels),(No data),(No data),
Lamiaceae Hyptis lantanifolia,2103 bp,1,(No data),2103 (1313 indels),(No data),(No data),
Lamiaceae Hyptis lorentziana,2115 bp,1,(No data),2115 (1313 indels),(No data),(No data),
Lamiaceae Hyptis marrubioides,2315 bp,1,(No data),2315 (1496 indels),(No data),(No data),
Lamiaceae Hyptis microphylla,2308 bp,1,(No data),2308 (1496 indels),(No data),(No data),
Lamiaceae Hyptis monticola,2318 bp,1,(No data),2318 (1496 indels),(No data),(No data),
Lamiaceae Hyptis obtecta,2273 bp,1,(No data),"2273 (4 'N', 1495 indels)",(No data),(No data),
Lamiaceae Hyptis proteoides,2320 bp,1,(No data),2320 (1496 indels),(No data),(No data),
Lamiaceae Hyptis pulegioides,2310 bp,1,(No data),2310 (1496 indels),(No data),(No data),
Lamiaceae Hyptis recurvata,2315 bp,1,(No data),2315 (1496 indels),(No data),(No data),
Lamiaceae Lepechinia comp. OUTSIDE,3626 bp,2,(No data),2307 (1645 indels),(No data),1319 (30 indels),
Lamiaceae Leptohyptis macrostachys,2321 bp,1,(No data),"2321 (1 'N', 1497 indels)",(No data),(No data),
Lamiaceae Marsypianthes chamaedrys,2750 bp,2,(No data),2169 (1438 indels),(No data),581 (29 indels),
Lamiaceae Martianthus leucocephalus,2303 bp,1,(No data),2303 (1495 indels),(No data),(No data),
Lamiaceae Martianthus sancti-gabrielii,2315 bp,1,(No data),2315 (1496 indels),(No data),(No data),
Lamiaceae Martianthus stachydifolius,2018 bp,1,(No data),"2018 (1 'N', 1302 indels)",(No data),(No data),
Lamiaceae Medusantha carvalhoi,2312 bp,1,(No data),2312 (1495 indels),(No data),(No data),
Lamiaceae Medusantha martiusii,2319 bp,1,(No data),2319 (1496 indels),(No data),(No data),
Lamiaceae Mesosphaerum irwinii,2310 bp,1,(No data),2310 (1496 indels),(No data),(No data),
Lamiaceae Mesosphaerum pectinatum,2900 bp,2,(No data),2319 (1496 indels),(No data),581 (29 indels),
Lamiaceae Mesosphaerum suaveolens,2342 bp,1,(No data),2342 (1514 indels),(No data),(No data),
Lamiaceae Ocimum campechianum,532 bp,1,(No data),(No data),(No data),532 (22 indels),
Lamiaceae Oocephalus crassifolius,2301 bp,1,(No data),2301 (1493 indels),(No data),(No data),
Lamiaceae Rhabdocaulon lavanduloides,7728 bp,1,(No data),"7728 (66 'N', 5287 indels)",(No data),(No data),
Lamiaceae Rhaphiodon echinus,2350 bp,1,(No data),2350 (1515 indels),(No data),(No data),
Lamiaceae Salvia guaranitica,3911 bp,2,(No data),2450 (1514 indels),(No data),"1461 (1 'N', 203 indels)",
Lamiaceae Salvia splendens,3720 bp,2,(No data),2080 (1297 indels),(No data),1640 (345 indels),
Lamiaceae Salvia uliginosa,2691 bp,2,(No data),2115 (1305 indels),(No data),576 (25 indels),
Lamiaceae Scutellaria comp. OUTSIDE,6526 bp,3,(No data),2189 (1428 indels),"3755 (136 'N', 1682 indels)",582 (29 indels),
Lamiaceae Stachys comp. OUTSIDE,5441 bp,4,768 (73 indels),1719 (1062 indels),"1903 (1 'N', 693 indels)",1051 (344 indels),
Lamiaceae Vitex megapotamica,915 bp,1,(No data),(No data),(No data),915 (344 indels),
Lamiaceae Vitex triflora,678 bp,1,(No data),(No data),(No data),678 (25 indels),
Lauraceae Aiouea saligna,2927 bp,2,(No data),2199 (1434 indels),(No data),728 (29 indels),
Lauraceae Aniba affinis,7801 bp,1,(No data),7801 (5302 indels),(No data),(No data),
Lauraceae Aniba panurensis,2825 bp,2,(No data),2099 (1304 indels),(No data),726 (29 indels),
Lauraceae Cassytha filiformis,2301 bp,2,(No data),1719 (1068 indels),(No data),582 (29 indels),
Lauraceae Cinnamomum triplinerve,2754 bp,2,(No data),2204 (1434 indels),(No data),550 (26 indels),
Lauraceae Cryptocarya citriformis,7793 bp,1,(No data),7793 (5305 indels),(No data),(No data),
Lauraceae Cryptocarya mandioccana,7990 bp,1,(No data),7990 (5480 indels),(No data),(No data),
Lauraceae Cryptocarya moschata,7990 bp,1,(No data),7990 (5480 indels),(No data),(No data),
Lauraceae Cryptocarya saligna,7990 bp,1,(No data),7990 (5480 indels),(No data),(No data),
Lauraceae Nectandra purpurea,2453 bp,1,(No data),2453 (1514 indels),(No data),(No data),
Lauraceae Dicypellium caryophyllaceum,4235 bp,1,(No data),4235 (2909 indels),(No data),(No data),
Lauraceae Endlicheria paniculata,2927 bp,2,(No data),2199 (1434 indels),(No data),728 (29 indels),
Lauraceae Licaria guianensis,726 bp,1,(No data),(No data),(No data),726 (29 indels),
Lauraceae Nectandra cissiflora,3929 bp,1,(No data),3929 (2964 indels),(No data),(No data),
Lauraceae Nectandra cuspidata,3957 bp,1,(No data),3957 (2983 indels),(No data),(No data),
Lauraceae Nectandra grandiflora,3168 bp,2,(No data),2254 (1437 indels),(No data),914 (344 indels),
Lauraceae Nectandra hihua,2749 bp,2,(No data),2207 (1435 indels),(No data),542 (26 indels),
Lauraceae Nectandra lanceolata,3179 bp,2,(No data),2260 (1439 indels),(No data),919 (340 indels),
Lauraceae Nectandra megapotamica,3175 bp,2,(No data),2262 (1439 indels),(No data),913 (344 indels),
Lauraceae Nectandra membranacea,2706 bp,2,(No data),2136 (1416 indels),(No data),"570 (1 'N', 28 indels)",
Lauraceae Ocotea amazonica,726 bp,1,(No data),(No data),(No data),726 (29 indels),
Lauraceae Ocotea bicolor,3053 bp,2,(No data),2328 (1489 indels),(No data),725 (29 indels),
Lauraceae Ocotea catharinensis,3179 bp,2,(No data),2260 (1433 indels),(No data),919 (344 indels),
Lauraceae Ocotea cernua,3943 bp,2,(No data),3361 (2406 indels),(No data),582 (29 indels),
Lauraceae Ocotea dispersa,2217 bp,1,(No data),2217 (1432 indels),(No data),(No data),
Lauraceae Ocotea floribunda,3012 bp,2,(No data),2435 (1512 indels),(No data),"577 (1 'N', 28 indels)",
Lauraceae Ocotea guianensis,2348 bp,1,(No data),2348 (1492 indels),(No data),(No data),
Lauraceae Ocotea leucoxylon,2542 bp,2,(No data),"1969 (3 'N', 1246 indels)",(No data),573 (28 indels),
Lauraceae Ocotea odorifera,3201 bp,2,(No data),2284 (1440 indels),(No data),917 (344 indels),
Lauraceae Ocotea percurrens,726 bp,1,(No data),(No data),(No data),726 (29 indels),
Lauraceae Ocotea porosa,3159 bp,2,(No data),2244 (1434 indels),(No data),915 (344 indels),
Lauraceae Ocotea puberula,2795 bp,2,(No data),2213 (1437 indels),(No data),582 (29 indels),
Lauraceae Ocotea pulchella,2972 bp,2,(No data),2244 (1436 indels),(No data),728 (29 indels),
Lauraceae Ocotea splendens,726 bp,1,(No data),(No data),(No data),726 (29 indels),
Lauraceae Ocotea subterminalis,2701 bp,2,(No data),1975 (1247 indels),(No data),726 (29 indels),
Lauraceae Rhodostemonodaphne comp. OUTSIDE,2926 bp,2,(No data),2344 (1505 indels),(No data),582 (29 indels),
Lauraceae Sextonia rubra,2786 bp,2,(No data),2091 (1303 indels),(No data),695 (25 indels),
Lauraceae Urbanodendron verrucosum,4235 bp,1,(No data),4235 (2909 indels),(No data),(No data),
Lecythidaceae Cariniana domestica,2292 bp,1,(No data),(No data),"2292 (1 'N', 1383 indels)",(No data),
Lecythidaceae Cariniana estrellensis,3571 bp,1,(No data),(No data),"3571 (3 'N', 1672 indels)",(No data),
Lecythidaceae Cariniana ianeirensis,3666 bp,1,(No data),(No data),"3666 (2 'N', 1673 indels)",(No data),
Lecythidaceae Cariniana legalis,1660 bp,1,(No data),(No data),(No data),"1660 (7 'N', 294 indels)",
Lecythidaceae Couratari guianensis,5976 bp,3,(No data),1728 (1193 indels),"3666 (1 'N', 1661 indels)",582 (29 indels),
Lecythidaceae Couratari macrosperma,3665 bp,1,(No data),(No data),3665 (1679 indels),(No data),
Lecythidaceae Couratari multiflora,6484 bp,3,(No data),2099 (1298 indels),3659 (1661 indels),726 (29 indels),
Lecythidaceae Couratari oblongifolia,4680 bp,3,(No data),2091 (1303 indels),"1863 (3 'N', 1225 indels)",726 (29 indels),
Lecythidaceae Eschweilera alvimii,2367 bp,1,(No data),(No data),2367 (1376 indels),(No data),
Lecythidaceae Eschweilera apiculata,4297 bp,2,(No data),(No data),3615 (1673 indels),682 (25 indels),
Lecythidaceae Eschweilera coriacea,6483 bp,3,(No data),2091 (1303 indels),3666 (1673 indels),726 (29 indels),
Lecythidaceae Eschweilera micrantha,4345 bp,2,(No data),(No data),"3666 (1 'N', 1673 indels)",679 (25 indels),
Lecythidaceae Eschweilera nana,2076 bp,1,(No data),(No data),"2076 (4 'N', 1258 indels)",(No data),
Lecythidaceae Eschweilera ovata,3633 bp,1,(No data),(No data),"3633 (1 'N', 1673 indels)",(No data),
Lecythidaceae Eschweilera tetrapetala,2859 bp,1,(No data),(No data),"2859 (100 'N', 1643 indels)",(No data),
Lecythidaceae Gustavia augusta,4240 bp,2,(No data),(No data),3658 (1679 indels),582 (29 indels),
Lecythidaceae Lecythis chartacea,7268 bp,3,(No data),2049 (1285 indels),"3644 (9 'N', 1679 indels)",1575 (252 indels),
Lecythidaceae Lecythis idatimon,6078 bp,3,(No data),2091 (1303 indels),"3261 (3 'N', 1539 indels)",726 (29 indels),
Lecythidaceae Lecythis lanceolata,3661 bp,1,(No data),(No data),3661 (1673 indels),(No data),
Lecythidaceae Lecythis pisonis,3623 bp,1,(No data),(No data),3623 (1685 indels),(No data),
Lecythidaceae Lecythis schwackei,2865 bp,1,(No data),(No data),"2865 (100 'N', 1645 indels)",(No data),
Lentibulariaceae Genlisea aurea,9229 bp,2,(No data),"7792 (1 'N', 5318 indels)",1437 (682 indels),(No data),
Lentibulariaceae Genlisea filiformis,7774 bp,1,(No data),7774 (5335 indels),(No data),(No data),
Lentibulariaceae Genlisea guianensis,8337 bp,2,(No data),7751 (5326 indels),(No data),586 (25 indels),
Lentibulariaceae Genlisea lobata,7748 bp,1,(No data),7748 (5300 indels),(No data),(No data),
Lentibulariaceae Genlisea pygmaea,7758 bp,1,(No data),"7758 (1 'N', 5318 indels)",(No data),(No data),
Lentibulariaceae Genlisea repens,7758 bp,1,(No data),7758 (5317 indels),(No data),(No data),
Lentibulariaceae Genlisea uncinata,7793 bp,1,(No data),7793 (5339 indels),(No data),(No data),
Lentibulariaceae Genlisea violacea,7730 bp,1,(No data),7730 (5303 indels),(No data),(No data),
Lentibulariaceae Utricularia adpressa,8346 bp,2,(No data),7757 (5365 indels),(No data),589 (25 indels),
Lentibulariaceae Utricularia blanchetii,7743 bp,1,(No data),"7743 (2 'N', 5333 indels)",(No data),(No data),
Lentibulariaceae Utricularia breviscapa,7758 bp,1,(No data),"7758 (2 'N', 5350 indels)",(No data),(No data),
Lentibulariaceae Utricularia cornuta,8329 bp,2,(No data),7748 (5372 indels),(No data),581 (29 indels),
Lentibulariaceae Utricularia costata,577 bp,1,(No data),(No data),(No data),577 (25 indels),
Lentibulariaceae Utricularia erectiflora,7749 bp,1,(No data),7749 (5352 indels),(No data),(No data),
Lentibulariaceae Utricularia flaccida,7790 bp,1,(No data),7790 (5371 indels),(No data),(No data),
Lentibulariaceae Utricularia foliosa,8286 bp,2,(No data),7745 (5342 indels),(No data),541 (25 indels),
Lentibulariaceae Utricularia gibba,2469 bp,2,"1565 (4 'N', 121 indels)",(No data),(No data),904 (343 indels),
Lentibulariaceae Utricularia jamesoniana,7741 bp,1,(No data),7741 (5374 indels),(No data),(No data),
Lentibulariaceae Utricularia juncea,8387 bp,2,(No data),"7801 (1 'N', 5384 indels)",(No data),586 (25 indels),
Lentibulariaceae Utricularia laxa,7744 bp,1,(No data),7744 (5343 indels),(No data),(No data),
Lentibulariaceae Utricularia lloydii,7754 bp,1,(No data),7754 (5365 indels),(No data),(No data),
Lentibulariaceae Utricularia nana,7783 bp,1,(No data),"7783 (3 'N', 5368 indels)",(No data),(No data),
Lentibulariaceae Utricularia nelumbifolia,7744 bp,1,(No data),7744 (5340 indels),(No data),(No data),
Lentibulariaceae Utricularia nephrophylla,7756 bp,1,(No data),"7756 (1 'N', 5358 indels)",(No data),(No data),
Lentibulariaceae Utricularia nervosa,7756 bp,1,(No data),"7756 (488 'N', 5184 indels)",(No data),(No data),
Lentibulariaceae Utricularia nigrescens,7752 bp,1,(No data),7752 (5356 indels),(No data),(No data),
Lentibulariaceae Utricularia olivacea,7809 bp,1,(No data),7809 (5377 indels),(No data),(No data),
Lentibulariaceae Utricularia parthenopipes,7819 bp,1,(No data),"7819 (3 'N', 5352 indels)",(No data),(No data),
Lentibulariaceae Utricularia praelonga,7803 bp,1,(No data),7803 (5335 indels),(No data),(No data),
Lentibulariaceae Utricularia pubescens,8374 bp,2,(No data),"7788 (4 'N', 5349 indels)",(No data),586 (25 indels),
Lentibulariaceae Utricularia purpureocaerulea,7745 bp,1,(No data),7745 (5336 indels),(No data),(No data),
Lentibulariaceae Utricularia pusilla,7751 bp,1,(No data),"7751 (11 'N', 5364 indels)",(No data),(No data),
Lentibulariaceae Utricularia resupinata,8359 bp,2,(No data),7778 (5376 indels),(No data),581 (29 indels),
Lentibulariaceae Utricularia simulans,7747 bp,1,(No data),7747 (5338 indels),(No data),(No data),
Lentibulariaceae Utricularia subulata,3251 bp,2,(No data),(No data),2347 (1311 indels),904 (343 indels),
Lentibulariaceae Utricularia tenuissima,8239 bp,1,(No data),8239 (5547 indels),(No data),(No data),
Lentibulariaceae Utricularia triloba,8334 bp,2,(No data),7745 (5364 indels),(No data),589 (25 indels),
Linaceae Hebepetalum humiriifolium,3285 bp,2,(No data),2703 (1756 indels),(No data),582 (29 indels),
Linaceae Linum comp. OUTSIDE,4644 bp,3,"1639 (9 'N', 136 indels)",2424 (1505 indels),(No data),581 (29 indels),
Linaceae Roucheria comp. OUTSIDE,4260 bp,2,(No data),2941 (1828 indels),(No data),"1319 (28 'N', 26 indels)",
Linderniaceae Cubitanthus alatus,4034 bp,1,(No data),4034 (2489 indels),(No data),(No data),
Linderniaceae Lindernia crustacea,8649 bp,2,(No data),7745 (5357 indels),(No data),904 (343 indels),
Linderniaceae Lindernia diffusa,7745 bp,1,(No data),7745 (5346 indels),(No data),(No data),
Linderniaceae Lindernia rotundifolia,7732 bp,1,(No data),7732 (5330 indels),(No data),(No data),
